model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.0913668027182506,0.005890449901822372,1.106416722939571,0.17197860541897786,1.1493789998925916,0.12524795558461194,1.2990108244662875,0.008732950339117591,1.0526144182278874,0.0013970507964084849
rf,0.9976327136503531,0.003984668934278203,0.9844622253645132,0.15523477576282782,1.0419716527579888,0.13715809606041773,1.2238793066586116,0.0061157765586844015,0.9815595462895428,0.0031403548860033923
ada,0.9997301937659716,0.003923937474909683,0.9819812960124321,0.15695541139627772,1.0468067296647934,0.13829149657525616,1.1823979608366906,0.01612539770913286,0.9837496600073068,0.002900213799057934
gb,1.019613412930841,0.00478713372871771,0.9998055669738815,0.18208317912579475,1.0567499306941777,0.21763203233600376,1.2317256298459407,0.020533643500834486,1.015719712073363,0.002347917526080675
xg,1.0135137525715827,0.00360754232476015,0.9908894027808625,0.1738101564886128,1.0697687454592952,0.14926801506562137,1.1773196224574312,0.020630957788317555,1.0100436651313023,0.002806239062686139
mlp,1.012170637380678,0.0037783336880358367,1.0047673414784162,0.1586286941455801,1.0680484619720367,0.1440647391120918,1.241060045081877,0.015086372146232275,1.002916220430906,0.0032882709117690026
svm,1.0345478248054805,0.0052350871989302866,1.0026117338443217,0.2146388820340183,1.0446246157697454,0.22506842739936872,1.207888369354782,0.06128363173214037,1.0639946108096094,0.0012240945156893892
