model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.9561137395091078,0.004921822301446234,0.9486932797570053,0.06421790523037472,0.9515256124477736,0.06359822407268739,1.0491913242789763,0.016741344098033416,0.9702073429801211,0.0005693896665223029
rf,0.8764173419901381,0.004527091906831942,0.8708822015543869,0.05057489561509487,0.8860848872266707,0.06541746189223258,0.9562802636113484,0.03623979688888078,0.8665937626325986,0.001209953669658192
ada,0.8768572203471036,0.004228482592468425,0.8767395778936202,0.05205754806501908,0.8974064237522305,0.059128872221722216,0.96671785568469,0.03263580410755465,0.8695018258527532,0.0007604480417509438
gb,0.8854363894531257,0.004201584347559689,0.8881333448948783,0.05558158782493854,0.8930324582877976,0.09722999001291255,0.9988705072864494,0.04051665999573666,0.891988243894518,0.0005348813771338328
xg,0.8977679482552026,0.003775201162546359,0.8845957430824406,0.0612076441047118,0.9245867414929737,0.08070980133843882,0.9892674470869978,0.03210284292782631,0.889723991228215,0.0010598913480632179
mlp,0.8871336760453198,0.0036910909794307858,0.8833170458407156,0.052046681944430004,0.9080091333849064,0.07200463201404385,1.0075951787220272,0.035742587068622905,0.9043687832687699,0.0008628295627971273
svm,0.8763681578336902,0.004431783133927114,0.8591484301698608,0.06283871670987033,0.8857054086697325,0.09713441309124338,0.9277282270989105,0.044101590385541,0.8769408078291073,0.0009103592108210871
