model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.8046000929815482,0.0030667491701330263,0.8059217368727662,0.03567484259673227,0.8072858238213859,0.027335391248748963,0.8395768796319334,0.0002047974493921218,0.7869159984201047,0.00046221100942371417
rf,0.7357091996211708,0.00253122185265342,0.7202432212283888,0.042497030755837446,0.7136227437762723,0.0350509965346918,0.7482168564980232,0.001321554304983438,0.7312147668404151,0.0018413970544222556
ada,0.7435839800813108,0.0025390336802327204,0.7306544783870106,0.0369531231416642,0.7253730732824233,0.029958941688864028,0.7628719179555046,0.0007318988364775136,0.7364114837913324,0.0016799711894754151
gb,0.7527481589317251,0.00285005033347455,0.7313225406885936,0.04024972594015933,0.7302048856747387,0.026410838750240754,0.7562067441162872,0.00085716035567841,0.7365447636129021,0.0008551008168404397
xg,0.7421229319295638,0.0027085675209226885,0.7205073570678161,0.0410024348777691,0.7176663820713821,0.027778369673294667,0.7453024858344584,0.0017933057996034102,0.7305499256601814,0.0013971948912858976
mlp,0.7439942286166891,0.002959441303361688,0.7463867840166558,0.04676812487060312,0.7316539828983479,0.03407680074941232,0.7743555048031319,0.0008831268025057727,0.738957360669594,0.0017110144747819879
svm,0.7508124815252007,0.003026247637612928,0.7387166774595134,0.043896219974165554,0.7276470223445713,0.03023877493856945,0.7660988591365507,0.0011020479179147617,0.7512768278429396,0.0016999847017646614
