model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.280973822577419,0.0066815772965342956,1.3087228405372846,0.11827647525698864,1.3948059361802798,0.14008055733978408,1.384552485901428,0.036048930315728055,1.2842324036020367,0.006230056531842302
rf,1.1730811098552778,0.006875109367387557,1.1681945164898964,0.13611045065359278,1.245517929208868,0.1329673715289119,1.3725874242495664,0.017961500816847976,1.1692529462917594,0.0036891445534993367
ada,1.182240765728175,0.0076864531035819705,1.1730855666961457,0.14035047904691533,1.23769985395518,0.141032501063461,1.34046132268442,0.024178216874044,1.1802145763777623,0.004512541864435337
gb,1.1888264417112961,0.006911819138548914,1.1861409159816567,0.1782224276811255,1.2397238896345073,0.225012271115827,1.3213633057736998,0.12763526568755484,1.2389259646805229,0.0012988320122737356
xg,1.1776806452555957,0.0060702526319595905,1.1749503675404473,0.15453258346169632,1.2618707997000371,0.12564374109051987,1.3319109124433788,0.028892145921411018,1.1727953683027759,0.0034838737419687206
mlp,1.1762313767910466,0.006014415346311508,1.1776687086988535,0.13350234103798606,1.2814866267814364,0.127980140970721,1.3696533201817676,0.05357486782835462,1.2101278407543878,0.002047707032214072
svm,1.2008911586859343,0.010120602338366987,1.200968810349868,0.21733806859790916,1.3832880784225878,0.1962829248881591,1.358873614096264,0.06492721046525504,1.2363212805530928,0.001095233055277796
