model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.9638642331664848,0.005795433487695894,0.9584313633707979,0.12747063224335725,1.0471143614071883,0.11013530272483889,1.0482213697159077,0.02582722145965932,0.9288250174419261,0.01116023827858588
rf,0.9042966134540834,0.004647749193204646,0.8665164512536537,0.16201135798682817,0.9542561901399149,0.13521446562007952,1.040394691315354,0.04371818523451364,0.8869077704584226,0.005514625395143602
ada,0.9103883961136819,0.0040144137192398965,0.8660522069483405,0.16528070963425318,0.9496652587779921,0.146504957261439,1.0556150574703813,0.02368446842671188,0.8938437520737164,0.005192321159669438
gb,0.9153620931275149,0.004493366233699724,0.8981744660703805,0.19734532431388896,0.9330048156168709,0.2028599506030981,1.0189668676976074,0.0686877319440357,0.9313385841249585,0.000984752454757669
xg,0.8979215364255095,0.004135459764699709,0.8584219587856501,0.17014592834400752,0.9553536611888664,0.1188734981904388,1.0527872233087165,0.02169836733583954,0.8837779388006077,0.0032896613727934915
mlp,0.9001749701717502,0.004120114646514166,0.8663981502646164,0.18001573588193218,0.9386401586137615,0.11643529132206014,1.0077616376905947,0.037847661506737386,0.9136031068363036,0.0012452561127315168
svm,0.9291820273804425,0.007696343646083181,0.862193757911952,0.21633596968732047,0.918689466448166,0.20663743798265916,1.0623341438898655,0.04942738358317149,0.9563488784769962,0.0003868639421297981
