model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,5.217723504498004,0.12045373974565896,5.178573283791139,4.067231161644366,5.512193627585887,3.681472812700805,5.824507280499627,1.599617750156097,5.023492250341802,0.10254407716772367
rf,4.759608585361811,0.12815471585599272,4.6508386015799,3.734203420361407,4.927698784832404,3.7383353420147083,5.49647611282815,1.5957896348255456,4.785297630562024,0.047869780435299894
ada,4.809607464349434,0.13592011412292418,4.649958968081583,3.8608207626337783,4.949403819050078,3.9470875555505978,5.488265327948344,1.6469427207450216,4.749872511768577,0.05475342579489931
gb,4.92444693946373,0.15225122253738527,4.749041942205083,4.445765672081016,5.128358566248707,5.204749923809347,5.769284693982941,2.5526278908453004,4.879238947518031,0.03820758971116978
xg,4.809117977909254,0.1217920204279754,4.697457372460979,4.001157762754144,5.100553052603832,3.4644892478027347,5.6119840071034055,1.2535864953358342,4.781293761181935,0.005265272946593802
mlp,4.844600843679722,0.11564736320700124,4.599821486259411,3.7697104403550865,4.993626224896807,3.3383468993336334,5.6132541377942,1.8001951108357321,4.793329637015434,0.016798119067232917
svm,4.855693447884375,0.15193357923797468,4.619546700265318,4.611946732585981,4.920364430301703,4.892231638085881,5.360418265451926,3.045575849146281,4.924473889512041,0.002835409440529732
