model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,5.290650504772525,0.09157016627383315,5.420809611541795,3.9998067728936255,5.695641022057542,4.1303430609610405,6.3464306278121505,0.5238866720085837,5.233743102027139,0.18644959445432266
rf,4.957364157612586,0.09896405208270508,4.8730730413193815,3.3591936263999664,5.2817461851554,3.595744423611129,5.784907874021321,1.8502100692036412,4.822259804504242,0.0845749310302893
ada,4.792872551514798,0.10228078435022388,4.665901116030153,3.7912203676549288,4.9750055417472785,3.885631415062612,5.468308437933504,1.6916636942904215,4.787323988989621,0.0929659674061346
gb,4.917913690155837,0.13289843021584302,4.675248918099025,4.35589242756575,5.150347475584853,5.045699259983602,5.512364629932173,3.0746195015145914,4.939042408364326,0.018791993711515853
xg,4.783208076526784,0.08670961822052316,4.697457437471206,4.0011584147956,5.10055315438498,3.4644890633904017,5.611998198207554,1.2535411983734763,4.817017362245694,0.03869942908092216
mlp,4.8604068927968,0.09227622945614353,4.7136009574010025,3.6867635908270944,4.94511764778258,3.5127036382509003,5.50106328619967,2.2925958620445974,4.8877822081913616,0.03573672092787355
svm,5.416156967261243,0.16048436570165298,5.1326497920901435,6.501773933388885,5.394554912418391,7.874902119273788,5.6354063446227425,5.927247436663284,5.496920741512151,0.013415453753620847
