model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.5981153248540407,0.010459448604886663,1.6349986167851984,0.06763585005107997,1.6727816216264841,0.09793824794184064,1.8595596845293705,0.03438547670142695,1.6206682548058036,0.0030626753517769166
rf,1.4882200942162558,0.0072615079996416745,1.4732232769147853,0.10763014806093886,1.567953699710922,0.11549010277203792,1.8292939405708963,0.04535367641351533,1.46828323201664,0.008478680986765054
ada,1.4733216536733966,0.007220015179727516,1.448062247803731,0.12369226837294085,1.5302233484995191,0.18261118542915292,1.8109898596838376,0.08102933259418027,1.4579481074225313,0.011193079839733423
gb,1.692032495955201,0.015233235036773835,1.5846837739895234,0.3868028810207943,1.5913440668571968,0.3668341566741087,1.8749336310101463,0.20343586828532179,1.6884676501933193,0.0010842023145989901
xg,1.4514375545887286,0.005742485061201612,1.445675533106944,0.12758608868325344,1.5052286060371276,0.1701285711469297,1.7381694680821225,0.05841028942984213,1.43555145079656,0.004451802738871043
mlp,1.4655984189147737,0.006431178019322017,1.5583304666136049,0.1270246814651059,1.4901236498625146,0.12577264293679208,1.715773091830525,0.05550448408793634,1.4981954853624513,0.0032159696891829264
svm,1.6589912927554653,0.014944734266956212,1.5180903223726576,0.43119228460917086,1.553961002405404,0.3453075708391799,1.678370438701768,0.41866572118800527,1.644456360435361,0.0012042768238681122
