model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,4.883817318972497,0.09736891489563866,5.41822187414555,3.510910896897891,6.384639855227268,6.877689213785923,6.7029775502118465,0.36122078472895097,4.9446992731689905,0.09201022414547312
rf,4.624544813552415,0.09599767391987087,5.107710447831469,3.6700452204515477,6.211011997233546,8.16432157806555,6.008010590316376,2.9766463804139764,4.684431911504553,0.01770911525411909
ada,4.67686921611219,0.11954459252212335,4.998219523178987,4.387089150853626,6.01669161775486,8.397244742299826,6.113646701421114,2.828481451715615,4.731810048380877,0.011444829326857805
gb,4.87116885095972,0.14092483602658115,5.2158710929371495,5.86186184877039,5.66624232829148,7.47127962877069,5.939367511086937,4.004028672757409,4.962426448958281,0.09991484383259043
xg,4.80545794859689,0.09223084806037943,5.046336909794003,2.9608916930153297,6.5398833843106985,10.027400465416791,6.9527380116090605,0.1652292045812556,4.881011271011454,0.07268889803801226
mlp,4.84212955934707,0.1062497238077009,5.273427071300674,3.8423249060978413,6.285158297134165,9.209974743818917,5.914559639420581,2.1098442733026688,5.158387540994054,0.06627144169838552
svm,5.444327102948858,0.20746040170944943,5.135042957751078,6.50470029152202,5.396425549927036,7.88124649396343,5.636353263193363,5.929083251478927,5.498235845786155,0.005461277584914115
