model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.9790746215693112,0.0037190981192327514,0.9909727413156274,0.06557934785129411,1.052403454074028,0.09799455917175995,1.2307976721893956,0.012336387101263871,0.9898372285434293,0.0035465993727355847
rf,0.9055759972799091,0.0033870138032659645,0.9454753470224817,0.05762408571013585,1.0171340477421444,0.07452262876854206,1.0742459421349366,0.04403655845813423,0.9044450564325857,0.0036899598975511406
ada,0.8891896938992174,0.0038080217875198935,0.9016016196109187,0.055763061101353456,0.9763752228279136,0.09119907338838965,1.0535894292895187,0.05110455082010114,0.8806692892023411,0.0031562695849347675
gb,1.0387092265053726,0.007384105086450243,0.9825523400789661,0.1389446073960016,0.999794036240045,0.16185541276729107,1.1108605063507633,0.09281645477703603,1.0462013264799324,0.0008479284649842927
xg,0.9809841390048535,0.003971504492105912,0.8979886454701905,0.05804820530879673,0.970757756930813,0.10210706692839382,1.0584504385165567,0.04457530693134344,0.8874109618928174,0.0020614830859849976
mlp,0.9376242691595046,0.0052499409011976216,0.9838103434017577,0.059052618692246144,1.053583059395517,0.09357879197663876,1.0584772410591872,0.046169490681820656,0.9158302148021704,0.0004025258489053919
svm,0.9956612660230041,0.006794510826239914,0.9429640858928289,0.12562287034764366,0.955806634862145,0.1475210793326881,1.0253940455598334,0.12099750776766716,1.0031628294742085,0.000883106764620888
