model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.8290640446359461,0.0028168479364681213,0.8530440323929687,0.058352768557744045,0.8416819090345918,0.027592419338226603,0.8764519622927216,0.002093667652591135,0.8005648779990037,0.0025038350954564937
rf,0.7923785477979446,0.0030589261728667045,0.7983423425979692,0.05190304574106439,0.7719307317123044,0.03115388725853272,0.8308434581265784,0.00035975516159788694,0.7627075030070274,0.0017581128368348554
ada,0.7707651072733369,0.00281239863533538,0.7657406051926544,0.045461008408744646,0.7566598993653834,0.0344689446526178,0.8175678985916787,0.00014996566761532696,0.7524167564601012,0.0008586435865145417
gb,0.8368990148930763,0.0052120249918037615,0.8216151725014575,0.06763825378240397,0.8888078366603136,0.04051915116586207,0.8769317030014948,0.001912605257596777,0.8317312246285326,0.006671768925059869
xg,0.7856620363562479,0.0031307166110896433,0.8079921277165281,0.047503489443233314,0.8313705878028775,0.039303667438931864,0.9775495574246185,0.004390788165986771,0.7649535792666038,0.0003212545662418124
mlp,0.8131969214021768,0.01097650082270464,0.7958038762618626,0.034307196483211476,0.8189374621684617,0.03352839544584768,1.0218146633693883,6.417675019970758e-05,0.7827858572947517,0.002280934593884855
svm,0.899255960923023,0.0036293471047943535,0.8910837640321561,0.05702358661922661,0.9371072544703385,0.0343709106076572,0.8935940043610802,4.6924821740660604e-05,0.8940854538164544,0.00026024064747577825
