model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.8743839917389276,0.0050788309084795445,0.960423433788709,0.17043977733744314,1.153145498437876,0.27111389997570867,1.1929556405971038,0.027497412506909246,0.8587404767889891,0.0077920140992196445
rf,0.8413577420929841,0.0064600403757661354,0.9114760203637478,0.1828982156738787,1.1087848587651066,0.263057275771898,1.0673586672268147,0.08394200790845234,0.8422762088182587,0.0030114094024672514
ada,0.8518558829554795,0.00815132460510704,0.8803629593553929,0.20708188528654425,1.0538108063594578,0.31593966384187083,1.0930832449524521,0.05327130901293468,0.8565835611602837,0.003593968241296785
gb,0.8831385326190125,0.0108188489276214,0.8905419041094731,0.21549908047286073,0.9897724671278114,0.26948564019613697,1.0136728584721646,0.11035671432059277,0.881381729727364,0.0017602094501195681
xg,0.8884948401306263,0.00626630744054261,0.8659480829262294,0.1951843680080515,1.0338224390975537,0.24269565673389054,1.0278639373613214,0.07230628437153984,0.8682411698195308,0.0004186227832497855
mlp,0.9132846859146503,0.009529162331589,0.9086129553431069,0.15400770409262954,1.1510557094879805,0.2219846086513345,1.2550230791665133,0.029988527485243836,0.9079989226391023,0.0029110922457442658
svm,0.9593337473220804,0.010462304054665467,0.857149266619997,0.21468208251810578,0.9388115584053331,0.27728186874007615,1.0271177479491915,0.08678168367687625,0.9588668834161477,0.0002688176934955814
