model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.9647254177402954,0.0076009869307723825,0.9071868149315996,0.19379637412456563,0.9936414584215516,0.20701542961907754,1.0634995283687996,0.050429479179972675,0.9864334125144074,0.0006072207025163875
rf,0.8123323013919455,0.0061651348657440685,0.8355342660266761,0.0794138935263585,1.1032186972082785,0.20283594027564944,1.0712602405485918,0.022083260796880385,0.8000114785183604,0.004563729491271252
ada,0.8402369526828268,0.008426575458128286,0.841735303665738,0.12876686303645304,1.0654180371948334,0.2792385998225137,1.1404743907515453,0.011208299588424845,0.8286246004412563,0.0028126966644147003
gb,0.8521937398399254,0.00936522821540565,0.8296729121170342,0.16790963901837427,1.0249470594149663,0.20874946392359495,1.073985605769478,0.05333349788585433,0.851359043716131,0.0016467594470984431
xg,0.8684317873572052,0.006282658854471461,0.8815123619823042,0.13451540113533503,1.100462225334271,0.10326425126575632,1.1553006514864887,0.0045192445618033785,0.8644099422679451,0.0004162305511255556
mlp,1.15986132594553,0.010362745891878883,1.0960542866487124,0.12090207366936269,1.182337645742368,0.09686948535849843,1.254072176828689,0.2650133325853626,1.1747388028833583,0.014480643144954624
svm,0.9488871204046926,0.009225602802698425,0.8577136484083805,0.21280716083418694,0.9389549420987134,0.27616341233714775,1.027227325153887,0.08714426170054379,0.9597338568840637,6.720488330847476e-05
