model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.2280824576602785,0.007719476297895465,1.148197115296443,0.25955447731801917,1.2099559580489787,0.2747395980448798,1.3100902761963087,0.16027980665735772,1.2101089637286306,0.0065033286315074835
rf,1.0033700151976561,0.004599931458691835,0.9753331446612825,0.22636491666825279,1.1984115652924836,0.392442971289429,1.4053551676273428,0.06774767378394095,0.9923338571096354,0.006306838452506237
ada,1.0303730055828233,0.006096693631122027,0.9943277745576586,0.23902467984310474,1.171064822959739,0.4443912506144038,1.4492323577375401,0.12104018151453522,1.0182003970233469,0.005125396652165941
gb,1.064410518325976,0.006380663678931404,1.0466774737168874,0.22664291590367824,1.2735635601405222,0.6341006943153209,1.3633793986378864,0.1547394497551341,1.0948221493303787,0.00045792361293952417
xg,1.0882639014596902,0.005873937384393544,1.042287452976634,0.2183291628545426,1.2525194686769179,0.36632574294378584,1.3729376468447545,0.09265567509129731,1.0678385664944223,0.0012469521306110632
mlp,1.3182452071312154,0.017398190177216194,1.5148380205841232,0.12370544466515537,1.4153997854627618,0.12286283930127415,1.5143984915560584,0.020278065055773904,1.3653029606487497,0.017774491621603508
svm,1.1483193575745618,0.006001963300797193,1.0565941995604147,0.2286424277551926,1.2416974742172886,0.5500014096235765,1.1966036294144287,0.11905694672275678,1.1524586550931595,0.0006123046179380875
