model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.4173710785088045,0.011390522334480947,1.3516005286751955,0.26806494240101914,1.404642436166819,0.3879444042165419,1.5431307590747165,0.21986313611773792,1.4121616807082278,0.009533905233237607
rf,1.1248119523602824,0.005879402754834025,1.1900066118032615,0.10172202659895896,1.386951046832175,0.25507347544540726,1.524047981018668,0.03624842151327806,1.1186753041035293,0.0050840520800610476
ada,1.1558231869983144,0.00982501862047779,1.2074716786160018,0.18029883300322605,1.4489509153702766,0.37157135996333074,1.7058824250682967,0.004535869635946818,1.1332215400143766,0.007865815008848647
gb,1.2518167999414518,0.027245976140503076,1.2911132032710602,0.3306386220866971,1.4814661918874212,0.34315200604703544,1.6656363668663143,0.05788871547490286,1.3298946772175648,0.003138085067477258
xg,1.213659084747478,0.007718601214901895,1.2805704657802437,0.1467816833322662,1.4493088920731136,0.21815124890569704,1.6763256491475227,0.0019458513963369446,1.2150259453606729,0.002881401987699144
mlp,1.4617218774891336,0.012299594175070844,1.5302792848212312,0.11930304715569574,1.624308131191075,0.1874049572949882,1.5250079408542856,0.0013771478193772113,1.4550081182258463,0.01279069867151315
svm,1.3516650120181974,0.012380470101125732,1.253153364135204,0.2967503748606294,1.2572774578309691,0.3575029536395487,1.4807419194207956,0.16936901890436898,1.3584749441753163,0.00015125781255704462
