model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.9769139277368512,0.004893273572966386,0.9751578494045181,0.07005073707601227,0.9919782535804372,0.06515803582403293,1.0632869944688905,0.023421052320689962,0.9883684532728548,0.0013738900630429942
rf,0.8942005814614334,0.0039714018438568215,0.895731693113531,0.05076393113057934,0.9155153143470233,0.06146786343329483,0.9928300576410624,0.02780131858184507,0.896823634204892,0.0010782466220691522
ada,0.8737598302479581,0.0044421969310611785,0.8745712506896287,0.05030975851093278,0.8975648178104237,0.06113032394017814,0.9602681109574791,0.03601460392010392,0.8824026956725547,0.0012842792407576824
gb,0.9212108373297816,0.007599181813944443,0.9115434674863828,0.09128412576532505,0.9042094742710864,0.1110875408611435,0.9671838745167622,0.0699738150112113,0.9426102811981466,0.0014606704225761137
xg,0.8911268583593646,0.004757404906712026,0.8845957458345689,0.061207654478866697,0.9245867455821992,0.08070979911263956,0.9892677525542273,0.03210268357322532,0.8967305072412826,0.0005329271101654322
mlp,0.8965044599730473,0.0051091128904534565,0.8916094912670789,0.060282542636905065,0.9087992819740994,0.07064111939178142,1.0535749476516825,0.017383942470570214,0.88214910060012,0.0016501759196503396
svm,0.9880063355795923,0.007384395481062503,0.9429268472909323,0.12567825138121574,0.9557274171620828,0.14752870772512988,1.025233682545304,0.12121072975859058,1.0033910733256952,0.00064377993446269
