model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.9830886200294715,0.003773206472403813,0.9942309831558448,0.12144354553005361,1.0713204818642899,0.09319105764552205,1.1213122512264053,0.005912438821182897,0.9525552869893146,0.0028702754709678284
rf,0.940567498991912,0.003916167836513961,0.9048706777239439,0.1460958154271249,1.006454143818139,0.119858034417213,1.0891278393140458,0.04024893913942607,0.9211818919348802,0.002298387524360522
ada,0.9070666000969134,0.004327440711991129,0.8630370277490675,0.1657244753239878,0.9518885179952613,0.1417481556011991,1.0462560472787819,0.02793351652161295,0.8937148703406907,0.001543950511785676
gb,0.941585151207305,0.00545654607160309,0.8816286812529047,0.20780436326988197,0.9335512266631998,0.22950980791404516,1.0307774594249877,0.0639606476976578,0.9291440893216711,0.0008923255034889235
xg,0.9036150040367874,0.0035262768643749814,0.8584219692245476,0.17014594970528904,0.9553536659438085,0.11887351290999182,1.052789382756617,0.021697461365896755,0.8933267759417393,0.0017401707768471225
mlp,0.9149324716859614,0.003683836716701851,0.8816245922235535,0.15126612311039475,0.9648991258664992,0.12790610773049657,1.0655596057655257,0.046679751908110634,0.9065732977066088,0.0017904956897984378
svm,0.9672011703950422,0.004471700753807403,0.8582224020201441,0.21290529564307872,0.9382646387757774,0.27536460526062506,1.026448169588869,0.08803537955328278,0.9598690866826067,0.00021500527148104093
