model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,5.647820823872729,0.24756304813372718,5.252194925084941,6.5300869524649325,5.681680683772984,7.851407022165509,6.345292688778718,2.8462656847041488,5.8267667026095245,0.07141285976039226
rf,4.502533243632056,0.11270418939476921,4.647501113595699,3.310914226891258,5.786881574971358,6.8841714589682175,6.495565856508502,0.8108761419450368,4.480964923614986,0.04269043070948294
ada,4.523260636170735,0.13796438011188714,4.658558477360805,3.6940213294391944,5.698672548049357,8.373053708504155,6.85123740027762,1.0283255388329626,4.503150969287496,0.07006201732780992
gb,4.692036009835711,0.14169365229716344,4.602431939097849,5.017022632487214,5.453001701263206,6.899295874344658,5.8292350164974165,2.7228562625685613,4.661648163340767,0.0710344742406032
xg,4.862758376759015,0.12146153796624422,5.254211197113222,3.684467811649412,5.98179408385406,6.343938244468204,6.955285283516504,0.026057746550922467,4.7971662534650195,0.04080802296992355
mlp,5.339527847341842,0.12570762936399896,5.822137058444441,3.0799605376015453,6.4677354950816826,2.4102066769110864,6.3898670832864894,0.6549373883026287,5.312147768956978,0.03475645221312671
svm,5.422570233933411,0.1958545946165463,5.132909320334455,6.503649105454367,5.395040707066367,7.878324011694754,5.636105974421977,5.933443609288,5.4968027808179585,0.012146374008230109
