model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,5.81412803863016,0.2129744121996536,5.344460261043525,6.021467269991296,5.597840389414802,6.98524425782141,6.080627123479561,3.2443786766188887,5.822139826533797,0.06766651845023203
rf,4.608425740017694,0.09860674886757552,4.634206627257267,3.158094087472133,5.849214774966958,8.057883131009115,6.6263868491270195,1.3863318913643856,4.597869668372554,0.22388855538526972
ada,4.704399246289901,0.13149363629389804,4.7711394314521725,3.707954299757361,5.893330239466476,8.644160396039712,6.880824448794387,1.5537781823412455,4.703615737789449,0.3238315261303366
gb,4.838794693708423,0.13465268240789433,4.77131246359547,4.814899783686124,5.729236503250748,8.200188132004882,6.14770808311768,3.6140178829298693,4.753343591371122,0.10441098663804714
xg,4.902816962803806,0.12982904736580467,4.9247058040834055,2.709678289679779,5.934965527823764,7.161255489506952,6.670361353534125,0.8713339438454707,4.851133739184531,0.18944086256829376
mlp,5.724264316146122,0.14879660792711466,6.210070038514239,4.7626193029832375,6.614958282897637,3.9926431945801006,6.424261829112072,2.768302058958411,6.192546222607467,0.1650478726045047
svm,5.511104158784459,0.182851569605393,5.134958471126538,6.506389244694756,5.395536303106352,7.872797516813554,5.636601707349821,5.931441852198292,5.498081104371795,0.013609343140335536
