model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.9020219326374429,0.006056948174935617,0.8752951712203845,0.058662816979209643,0.8431224696153506,0.033777888692699265,0.8837549414669128,0.00014169746200880684,0.9056149302956329,0.00031780927186519475
rf,0.7405493747240979,0.003934234082829443,0.7342866527465581,0.043024935882350165,0.7363688550715578,0.0389031008106581,0.8011358048571642,2.02947945285072e-05,0.7469486241931895,0.002266441822500328
ada,0.7364475395553963,0.004171252191812463,0.725281793511904,0.041805204671224096,0.7252955528672148,0.03416422876138948,0.8007573293761481,0.0014368199395980456,0.7347365315423391,0.0018180714281836527
gb,0.8219141083327177,0.005472828789677347,0.7931403002891185,0.04114894428761648,0.8141938425446273,0.037116678934621464,0.83691815619231,0.001919671288655792,0.8269281894408328,0.0019831964614856535
xg,0.7974989101283215,0.004201036439815845,0.7776141842121354,0.03917288282743085,0.7819100562705485,0.025841294524691378,0.820757644601584,0.0015754592743052406,0.7593746222339938,0.0014673481721905112
mlp,0.921693441068617,0.009432333353970878,0.9666170941268316,0.02013277976520034,0.9428934961157008,0.036082216095858745,0.9707828626877704,0.015696330089397196,0.9966809860549611,0.00036915960103212216
svm,0.8900209218967321,0.005093318824028461,0.8880866508759571,0.05691204019206635,0.9341683333298781,0.034406555782012356,0.8918875883072653,3.9528821556055735e-05,0.8917608142499466,0.00011671871905030047
