model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.9010691531367848,0.0035926446685648687,0.8984841923230393,0.035122849719740154,0.8706311581124613,0.02468823906949988,0.8757072000645704,0.006359236186486858,0.8976564249606965,0.0017354737548542294
rf,0.7733151869587962,0.0030170724654457453,0.7793171237990669,0.04753375270092157,0.7944123152785486,0.03377512499954529,0.8386916197000573,0.002253465091172917,0.7754451696434341,0.0006116998077752707
ada,0.7653581203290878,0.0032100419628440543,0.7687667916186248,0.04442844728579611,0.7861782983025006,0.033511316231320414,0.848097532882727,0.00037037144085693823,0.7645503159049264,7.906420648558632e-05
gb,0.8444849032848315,0.00473502328444041,0.8597238442035561,0.05728253685217413,0.894599271184038,0.02802801106569409,0.8526756187744333,0.0001442484366541331,0.8525491641761654,0.0027370807665716103
xg,0.8416811165149897,0.0034906470753803395,0.7963787317521821,0.04376390422595446,0.8256659389350341,0.026369578769468657,0.8440446657317865,0.004479815777077988,0.8192499657642076,0.0006217381773291457
mlp,0.9229578000836398,0.008827013027466503,0.9688147666717153,0.044344858762986196,1.019740336027073,0.0034539231826277743,0.9711954545361139,4.723469625514829e-07,0.8995752530043161,0.010445863493770406
svm,0.8849007230441266,0.0033778538822561077,0.8903455868032859,0.05683073250057694,0.9360925698934094,0.03446510236093631,0.8930555939386104,3.601335400001161e-05,0.8936219703714,0.00016160965227365632
