model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.815116129489708,0.0030276567962890734,0.8480617799609329,0.030829847256427186,0.8405720245826184,0.01758177885788165,0.8921027262706996,0.0016206676032590411,0.7942671113746502,0.0013382655976890122
rf,0.7453432261806345,0.002484109997097972,0.7468360760847181,0.03849070037282607,0.743544802719279,0.029406161658396192,0.7798087761702104,0.0009577319516857998,0.7442506581440659,0.0012165876894376746
ada,0.7360078738993098,0.00271837543213353,0.7289504471714296,0.03826513904610723,0.7231726443405707,0.03168738967908741,0.7548875806644771,0.0014703533645449307,0.7359154017729225,0.0010735939282754024
gb,0.7832364656715023,0.0030418438989474154,0.7974228080412321,0.042529814817146364,0.8714164681910652,0.04576810755696553,0.795454434943738,0.0006412439743462346,0.8172422067795365,0.0011103523905267943
xg,0.7353412487794635,0.002922941386356625,0.7205073677464473,0.04100243586421271,0.7176663791929172,0.027778367870251515,0.7453024619809383,0.001793308589875894,0.7310063405070011,0.0002974777735625793
mlp,0.7561536822754428,0.0029178800021624593,0.7434951559538477,0.04435054012601297,0.763356636044692,0.022143234412564695,0.7829154782658527,0.002990081557083233,0.7412839404584494,0.0002944758624296618
svm,0.8884742802139566,0.0029702372845810086,0.8892214149627365,0.05685235866396682,0.9356150546768431,0.03444341922712227,0.8934766018011076,4.03007728533897e-05,0.8929711188847156,0.0005657366407903209
