model,train_test_mean,train_test_var,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,4.8912550677743845,0.138557500838483,5.409303897661148,3.420848986715129,6.368494530502127,6.955734722236082,6.572205954533226,0.6177259281967765,4.91391112418659,0.11934199574212481
rf,4.652863538437967,0.11108082175714369,5.1247084592862375,4.210980096047517,6.074995451843162,7.704544788458654,6.044640054464944,2.7416661606381787,4.546320811929852,0.09366959859524224
ada,4.6382418891425985,0.11825368367777561,5.022653085818589,4.593417208409835,6.10347800855492,8.90270938192342,6.164851941812308,2.590148520992242,4.616332770189757,0.06340588138239207
gb,4.610619469343811,0.11430049404472714,5.156790511059281,4.746343532158137,5.7947075266504955,6.064366031616208,5.8948506679719035,2.800407381618182,4.598577527487299,0.12430857575919482
xg,4.843679512458681,0.11528835285083638,5.04633692317635,2.9608916024536027,6.5398831043340415,10.027397148813549,6.952398948701102,0.16464569651663025,4.809057382733146,0.14203908883565824
mlp,4.938892318973751,0.12624686227126514,5.187134415082087,3.2234034121888118,6.214196006680806,5.341022675541229,6.236296320710693,1.5032804883377624,4.755490726224815,0.06456585275401823
svm,4.959304717140418,0.12571829042955418,5.248231130425573,5.602709386080425,6.090176153606845,8.949890189109816,6.260547397069184,2.660345536759835,4.951516692216921,0.07272575756568248
